TIPO,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
FLUJOS NOMINALES,Aportaciones (ahorro),0.00%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.11%,0.11%,0.11%,0.11%,0.11%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.20%,0.21%,0.21%,0.21%,0.21%,0.21%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.25%,0.25%,0.25%,0.25%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.28%,0.28%,0.28%,0.28%,0.30%,0.30%,0.30%,0.30%,0.30%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.35%,0.35%,0.35%,0.35%,0.35%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.39%,0.39%,0.39%,0.39%,0.39%,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,0.00%,0.00%
FLUJOS NOMINALES,Prima de riesgo por fallecimiento,0.00%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.29%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,0.00%,0.00%
FLUJOS NOMINALES,Prima de riesgo por incapacidad,0.00%,-6.87%,-8.00%,-5.80%,-5.80%,-5.80%,-5.80%,-5.80%,-5.80%,-5.80%,-4.69%,-6.84%,-6.84%,-6.84%,-7.96%,-1.32%,-1.32%,-1.32%,-1.32%,-1.32%,-1.32%,-1.32%,-0.18%,-6.91%,-6.91%,-6.91%,-8.04%,-1.31%,-1.31%,-1.31%,-1.31%,-1.31%,-1.31%,-1.31%,-0.15%,-6.92%,-6.92%,-6.92%,-8.06%,-1.42%,-1.42%,-1.42%,-1.42%,-1.42%,-1.42%,-1.42%,-0.24%,-7.00%,-7.00%,-7.00%,-8.14%,-1.51%,-1.51%,-1.51%,-1.51%,-1.51%,-1.51%,-1.51%,-0.33%,-7.02%,-7.02%,-7.02%,-8.18%,6.68%,6.68%,6.68%,6.68%,6.68%,6.68%,6.68%,7.95%,-8.16%,-8.16%,-8.16%,-9.34%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-1.73%,-8.20%,-8.20%,-8.20%,-9.39%,-2.85%,-2.85%,-2.85%,-2.85%,-2.85%,-2.85%,-2.85%,-1.64%,-8.21%,-8.21%,-8.21%,-9.42%,-2.87%,-2.87%,-2.87%,-2.87%,-2.87%,-2.87%,-2.87%,-1.65%,-8.31%,-8.31%,-8.31%,-9.54%,-2.78%,-2.78%,-2.78%,-2.78%,-2.78%,-2.78%,-2.78%,-1.53%,-8.32%,-8.32%,-8.32%,-9.59%,-2.83%,-2.83%,-2.83%,-2.83%,-2.83%,-2.83%,-2.83%,-1.55%,-8.40%,-8.40%,-8.40%,-9.70%,-2.88%,-2.88%,-2.88%,-2.88%,-2.88%,-2.88%,-2.88%,-1.56%,-8.46%,-8.46%,-8.46%,-9.80%,-2.93%,-2.93%,-2.93%,-2.93%,-2.93%,-2.93%,-2.93%,-1.57%,-8.53%,-8.53%,-8.53%,-9.92%,-3.02%,-3.02%,-3.02%,-3.02%,-3.02%,-3.02%,-3.02%,-1.62%,-8.58%,-8.58%,-8.58%,-10.01%,-3.10%,-3.10%,-3.10%,-3.10%,-3.10%,-3.10%,-3.10%,-1.65%,-8.67%,-8.67%,-8.67%,-10.15%,-3.20%,-3.20%,-3.20%,-3.20%,-3.20%,-3.20%,-3.20%,-1.71%,-8.71%,-8.71%,-8.71%,-10.24%,-3.32%,-3.32%,-3.32%,-3.32%,-3.32%,-3.32%,-3.32%,-1.78%,-8.80%,-8.80%,-8.80%,-10.39%,-3.42%,-3.42%,-3.42%,-3.42%,-3.42%,-3.42%,-3.42%,-1.82%,-8.89%,-8.89%,-8.89%,-10.53%,-3.61%,-3.61%,-3.61%,-3.61%,-3.61%,-3.61%,-3.61%,-1.95%,-8.95%,-8.95%,-8.95%,-10.66%,-3.75%,-3.75%,-3.75%,-3.75%,-3.75%,-3.75%,-3.75%,-2.03%,-9.05%,-9.05%,-9.05%,-10.82%,-3.29%,-3.29%,-3.29%,-3.29%,-3.29%,-3.29%,0.00%
FLUJOS NOMINALES,Jubilación,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.00%
FLUJOS NOMINALES,Fallecimiento,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.08%,0.00%
FLUJOS NOMINALES,Incapacidad Permanente,-3.56%,-3.56%,-4.87%,-4.87%,-4.87%,-4.87%,-4.87%,-4.87%,-4.87%,-4.87%,-3.58%,-3.58%,-3.58%,-3.58%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-3.60%,-3.60%,-3.60%,-3.60%,-4.91%,-4.91%,-4.91%,-4.91%,-4.91%,-4.91%,-4.91%,-4.91%,-3.63%,-3.63%,-3.63%,-3.63%,-4.95%,-4.95%,-4.95%,-4.95%,-4.95%,-4.95%,-4.95%,-4.95%,-3.65%,-3.65%,-3.65%,-3.65%,-4.99%,-4.99%,-4.99%,-4.99%,-4.99%,-4.99%,-4.99%,-4.99%,-3.67%,-3.67%,-3.67%,-3.67%,-5.03%,-5.03%,-5.03%,-5.03%,-5.03%,-5.03%,-5.03%,-5.03%,-3.70%,-3.70%,-3.70%,-3.70%,-5.07%,-5.07%,-5.07%,-5.07%,-5.07%,-5.07%,-5.07%,-5.07%,-3.72%,-3.72%,-3.72%,-3.72%,-5.12%,-5.12%,-5.12%,-5.12%,-5.12%,-5.12%,-5.12%,-5.12%,-3.75%,-3.75%,-3.75%,-3.75%,-5.17%,-5.17%,-5.17%,-5.17%,-5.17%,-5.17%,-5.17%,-5.17%,-3.77%,-3.77%,-3.77%,-3.77%,-5.23%,-5.23%,-5.23%,-5.23%,-5.23%,-5.23%,-5.23%,-5.23%,-3.80%,-3.80%,-3.80%,-3.80%,-5.29%,-5.29%,-5.29%,-5.29%,-5.29%,-5.29%,-5.29%,-5.29%,-3.83%,-3.83%,-3.83%,-3.83%,-5.37%,-5.37%,-5.37%,-5.37%,-5.37%,-5.37%,-5.37%,-5.37%,-3.86%,-3.86%,-3.86%,-3.86%,-5.45%,-5.45%,-5.45%,-5.45%,-5.45%,-5.45%,-5.45%,-5.45%,-3.89%,-3.89%,-3.89%,-3.89%,-5.53%,-5.53%,-5.53%,-5.53%,-5.53%,-5.53%,-5.53%,-5.53%,-3.92%,-3.92%,-3.92%,-3.92%,-5.62%,-5.62%,-5.62%,-5.62%,-5.62%,-5.62%,-5.62%,-5.62%,-3.96%,-3.96%,-3.96%,-3.96%,-5.72%,-5.72%,-5.72%,-5.72%,-5.72%,-5.72%,-5.72%,-5.72%,-3.99%,-3.99%,-3.99%,-3.99%,-5.82%,-5.82%,-5.82%,-5.82%,-5.82%,-5.82%,-5.82%,-5.82%,-4.03%,-4.03%,-4.03%,-4.03%,-5.93%,-5.93%,-5.93%,-5.93%,-5.93%,-5.93%,-5.93%,-5.93%,-4.07%,-4.07%,-4.07%,-4.07%,-6.05%,-6.05%,-6.05%,-6.05%,-6.05%,-6.05%,-6.05%,-6.05%,-4.12%,-4.12%,-4.12%,-4.12%,-6.18%,-6.18%,-6.18%,-6.18%,-6.18%,-6.18%,-6.18%,-6.18%,-4.16%,-4.16%,-4.16%,-4.16%,-6.32%,-6.32%,-6.32%,-6.32%,-6.32%,-6.32%,-6.32%,-6.32%
