TIPO,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
Fallec.,Lump Sum Death,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Fallec.,Lump Sum Basic Death,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.00%,0.00%
FLUJOS PROBABLES,Aportaciones (ahorro),0.00%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.11%,0.11%,0.11%,0.11%,0.11%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.17%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.20%,0.21%,0.21%,0.21%,0.21%,0.21%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.25%,0.25%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.28%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.35%,0.35%,0.35%,0.35%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.39%,0.39%,0.39%,0.39%,0.39%,0.42%,0.42%,0.42%,0.43%,0.43%,0.43%,0.43%,0.43%,0.44%,0.44%,0.44%,0.09%,0.10%,0.09%,0.09%,0.09%,0.09%,0.00%,0.00%
FLUJOS PROBABLES,Prima de riesgo por fallecimiento,0.00%,-14.29%,-14.29%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.28%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.26%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.25%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.24%,-14.25%,-14.24%,-14.25%,-14.25%,-14.25%,-14.25%,0.00%,0.00%
FLUJOS PROBABLES,Prima de riesgo por incapacidad,0.00%,-6.87%,-8.00%,-5.80%,-5.80%,-5.80%,-5.80%,-5.80%,-5.80%,-5.80%,-4.69%,-6.84%,-6.84%,-6.84%,-7.96%,-1.32%,-1.32%,-1.32%,-1.32%,-1.32%,-1.32%,-1.32%,-0.17%,-6.91%,-6.91%,-6.91%,-8.04%,-1.31%,-1.31%,-1.31%,-1.31%,-1.31%,-1.31%,-1.31%,-0.15%,-6.92%,-6.92%,-6.92%,-8.06%,-1.41%,-1.41%,-1.41%,-1.41%,-1.41%,-1.41%,-1.41%,-0.24%,-6.99%,-6.99%,-6.99%,-8.14%,-1.50%,-1.50%,-1.50%,-1.50%,-1.50%,-1.50%,-1.50%,-0.32%,-7.02%,-7.02%,-7.02%,-8.17%,6.69%,6.69%,6.69%,6.69%,6.69%,6.69%,6.69%,7.96%,-8.16%,-8.16%,-8.16%,-9.33%,-2.90%,-2.90%,-2.90%,-2.90%,-2.90%,-2.90%,-2.90%,-1.72%,-8.19%,-8.19%,-8.19%,-9.38%,-2.83%,-2.83%,-2.83%,-2.83%,-2.83%,-2.83%,-2.83%,-1.63%,-8.20%,-8.20%,-8.20%,-9.41%,-2.86%,-2.86%,-2.86%,-2.86%,-2.86%,-2.86%,-2.86%,-1.63%,-8.29%,-8.29%,-8.29%,-9.53%,-2.76%,-2.76%,-2.76%,-2.76%,-2.76%,-2.76%,-2.76%,-1.51%,-8.31%,-8.31%,-8.31%,-9.57%,-2.81%,-2.81%,-2.81%,-2.81%,-2.81%,-2.81%,-2.81%,-1.53%,-8.38%,-8.38%,-8.38%,-9.68%,-2.86%,-2.86%,-2.86%,-2.86%,-2.86%,-2.86%,-2.86%,-1.54%,-8.44%,-8.44%,-8.44%,-9.78%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-1.55%,-8.51%,-8.51%,-8.51%,-9.90%,-2.99%,-3.00%,-3.00%,-3.00%,-3.00%,-3.00%,-3.00%,-1.59%,-8.56%,-8.56%,-8.56%,-9.99%,-3.07%,-3.08%,-3.08%,-3.08%,-3.08%,-3.08%,-3.08%,-1.63%,-8.65%,-8.65%,-8.65%,-10.12%,-3.17%,-3.17%,-3.17%,-3.17%,-3.17%,-3.17%,-3.17%,-1.68%,-8.69%,-8.69%,-8.69%,-10.21%,-3.29%,-3.29%,-3.29%,-3.29%,-3.29%,-3.29%,-3.29%,-1.74%,-8.77%,-8.77%,-8.77%,-10.36%,-3.38%,-3.38%,-3.38%,-3.38%,-3.38%,-3.38%,-3.38%,-1.78%,-8.85%,-8.85%,-8.85%,-10.50%,-3.57%,-3.57%,-3.57%,-3.57%,-3.57%,-3.57%,-3.57%,-1.92%,-8.92%,-8.92%,-8.92%,-10.62%,-3.71%,-3.71%,-3.71%,-3.71%,-3.71%,-3.71%,-3.71%,-1.99%,-9.01%,-9.01%,-9.01%,-10.79%,-3.24%,-3.25%,-3.25%,-3.25%,-3.25%,0.00%,0.00%
FLUJOS PROBABLES,Jubilación,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%
FLUJOS PROBABLES,Fallecimiento,0.00%,0.00%,-10.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-10.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-10.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-10.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-10.62%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,-10.36%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,-9.90%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,-9.30%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,-8.59%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,-7.95%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,-7.36%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,-6.85%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,-6.36%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.04%,0.04%,-5.82%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,-5.36%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,-4.90%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,-11.05%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,-9.16%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,-7.43%,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,-5.42%,0.08%,0.08%,0.08%,0.08%,0.08%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,-3.41%,0.09%,0.09%,0.09%,0.09%,0.09%,0.12%,0.00%
FLUJOS PROBABLES,Incapacidad Permanente,0.00%,-18.23%,-21.36%,-19.21%,-19.21%,-19.21%,-19.21%,-19.21%,-19.21%,-19.21%,-18.24%,-18.24%,-18.24%,-18.24%,-25.39%,-19.22%,-19.22%,-19.22%,-19.22%,-19.22%,-19.22%,-19.22%,-18.26%,-18.26%,-18.26%,-18.26%,-25.50%,-19.24%,-19.24%,-19.24%,-19.24%,-19.24%,-19.24%,-19.24%,-18.27%,-18.27%,-18.27%,-18.27%,-25.46%,-19.25%,-19.25%,-19.25%,-19.25%,-19.25%,-19.25%,-19.25%,-18.27%,-18.27%,-18.27%,-18.27%,-25.48%,-19.28%,-19.28%,-19.28%,-19.28%,-19.28%,-19.28%,-19.28%,-18.29%,-18.29%,-18.29%,-18.29%,-33.08%,-27.37%,-27.37%,-27.37%,-27.37%,-27.37%,-27.37%,-27.37%,-26.47%,-26.47%,-26.47%,-26.47%,-32.89%,-27.39%,-27.39%,-27.39%,-27.39%,-27.39%,-27.39%,-27.39%,-26.48%,-26.48%,-26.48%,-26.48%,-33.03%,-27.42%,-27.42%,-27.42%,-27.42%,-27.42%,-27.42%,-27.42%,-26.50%,-26.50%,-26.50%,-26.50%,-33.07%,-27.44%,-27.44%,-27.44%,-27.44%,-27.44%,-27.44%,-27.44%,-26.51%,-26.51%,-26.51%,-26.51%,-33.28%,-27.48%,-27.48%,-27.48%,-27.48%,-27.48%,-27.48%,-27.48%,-26.52%,-26.52%,-26.52%,-26.52%,-33.33%,-27.51%,-27.51%,-27.51%,-27.51%,-27.51%,-27.51%,-27.51%,-26.53%,-26.53%,-26.53%,-26.53%,-33.44%,-27.55%,-27.55%,-27.55%,-27.55%,-27.55%,-27.55%,-27.55%,-26.54%,-26.54%,-26.54%,-26.54%,-33.54%,-27.60%,-27.60%,-27.60%,-27.60%,-27.60%,-27.60%,-27.60%,-26.56%,-26.56%,-26.56%,-26.56%,-33.63%,-27.64%,-27.64%,-27.64%,-27.64%,-27.64%,-27.64%,-27.64%,-26.57%,-26.57%,-26.57%,-26.57%,-33.71%,-27.69%,-27.69%,-27.69%,-27.69%,-27.69%,-27.69%,-27.69%,-26.59%,-26.59%,-26.59%,-26.59%,-33.80%,-27.75%,-27.75%,-27.75%,-27.75%,-27.75%,-27.75%,-27.75%,-26.60%,-26.60%,-26.60%,-26.60%,-33.85%,-27.81%,-27.81%,-27.81%,-27.81%,-27.81%,-27.81%,-27.81%,-26.62%,-26.62%,-26.62%,-26.62%,-33.98%,-27.86%,-27.86%,-27.86%,-27.86%,-27.86%,-27.86%,-27.86%,-26.64%,-26.64%,-26.64%,-26.64%,-34.02%,-27.93%,-27.93%,-27.93%,-27.93%,-27.93%,-27.93%,-27.93%,-26.66%,-26.66%,-26.66%,-26.66%,-34.10%,-28.00%,-28.00%,-28.00%,-28.00%,-28.00%,-28.00%,-28.00%,-26.68%,-26.68%,-26.68%,-26.68%,-38.50%,-28.08%,-28.08%,-28.08%,-28.08%,-28.08%,-28.08%,0.00%
